Year,Month,Day,Rain,Tmax,Tmin,Height,Predicted_Growth
2015,12,11,11.4,38.2,19.3,1170,0.29976734431682006
2015,12,12,0.0,33.6,19.7,1170,0.36081807876921806
2015,12,13,0.0,36.2,20.8,1170,0.342513474258435
2015,12,14,2.2,33.4,19.9,1170,0.3447585308739241
2015,12,15,0.0,31.5,18.5,1170,0.3335485026226766
2015,12,16,0.0,33.7,18.5,1170,0.31969861561825036
2015,12,17,0.8,35.3,19.5,1170,0.3048326834259523
2015,12,18,0.2,34.7,20.6,1170,0.30180562143328304
2015,12,19,0.0,36.0,21.1,1170,0.2830903671908879
2015,12,20,0.0,38.4,23.3,1170,0.2731007909313523
2015,12,21,1.6,38.3,19.4,1170,0.23043426550052126
2015,12,22,0.0,39.7,17.8,1170,0.19236367228082063
2015,12,23,0.0,39.0,22.4,1170,0.25922799431679405
2015,12,24,4.2,40.0,22.7,1170,0.2559310451266667
2015,12,25,0.0,29.9,20.2,1170,0.3148970620727072
2015,12,26,0.0,33.4,21.3,1170,0.33547627111310585
2015,12,27,0.0,34.1,18.9,1170,0.2945849434268835
2015,12,28,0.0,35.9,18.5,1170,0.2550413558762648
2015,12,29,0.0,37.5,22.0,1170,0.277336892607595
2015,12,31,0.0,36.7,20.9,1170,0.2695953389349326
2016,1,1,11.0,38.0,21.1,1170,0.2757777682220681
2016,1,2,11.8,34.0,18.7,1170,0.3392011578915431
2016,1,3,0.0,33.5,19.9,1170,0.36370742907997927
2016,1,4,0.0,36.0,21.8,1170,0.34506627089182546
2016,1,5,0.0,37.9,21.7,1170,0.31155223134007864
2016,1,6,0.0,40.9,22.0,1170,0.29311415224129433
2016,1,7,0.0,42.9,23.2,1170,0.2911844347255209
2016,1,8,5.8,39.7,19.7,1170,0.281567570397422
2016,1,9,45.6,32.9,17.8,1170,0.4290369202091244
2016,1,10,5.6,32.0,16.6,1170,0.4279594342782508
2016,1,11,13.0,32.9,18.3,1170,0.4451848579104291
2016,1,12,1.6,30.5,16.5,1170,0.438580846548725
2016,1,13,18.2,32.8,19.0,1170,0.5463829366749391
2016,1,14,0.0,26.5,17.5,1170,0.47267030950665967
2016,1,15,0.6,33.1,17.8,1170,0.509757400009522
2016,1,16,0.0,27.1,19.0,1170,0.33447005600343693
2016,1,17,0.0,30.4,19.6,1170,0.38372768318113165
2016,1,18,0.0,27.9,19.0,1170,0.30440477374519864
2016,1,19,2.6,32.3,18.3,1170,0.3408965251530529
2016,1,20,5.4,30.6,18.7,1170,0.30704966090499236
2016,1,21,0.2,29.0,18.7,1170,0.28827539536209756
2016,1,22,0.0,31.1,21.2,1170,0.3447221750353242
2016,1,23,14.4,32.7,20.4,1170,0.37591248558247403
2016,1,24,0.6,26.7,20.2,1170,0.2963704234344377
2016,1,25,36.6,32.5,17.0,1170,0.4245733890480066
2016,1,26,0.0,32.3,16.5,1170,0.42448115743014986
2016,1,27,0.0,33.0,18.6,1170,0.43385152472932426
2016,1,28,0.0,33.9,18.9,1170,0.4281824851822862
2016,1,29,0.0,32.8,20.4,1170,0.45032686372075353
2016,1,30,0.0,34.2,19.0,1170,0.3788689825643175
2016,1,31,0.0,33.5,18.5,1170,0.37982550799985665
2016,2,1,0.0,33.0,18.1,1170,0.2802182203361904
2016,2,2,0.0,35.6,19.2,1170,0.260566836156889
2016,2,3,0.0,34.5,19.9,1170,0.28606508474432674
2016,2,4,0.8,35.4,21.3,1170,0.2976382203267742
2016,2,5,0.2,31.6,20.6,1170,0.3272897175016496
2016,2,6,12.4,32.6,19.3,1170,0.33789093202751386
2016,2,7,0.0,34.4,18.1,1170,0.3003487568791961
2016,2,8,0.6,33.6,17.8,1170,0.3118465817355859
2016,2,9,1.2,31.5,18.4,1170,0.3333332483849895
2016,2,10,0.2,30.1,20.3,1170,0.34357514105378933
2016,2,11,0.0,33.9,17.0,1170,0.2973277681608631
2016,2,12,4.6,36.9,18.9,1170,0.2867730788492555
2016,2,13,0.2,36.3,17.2,1170,0.23796451969112747
2016,2,14,0.0,36.4,19.8,1170,0.259549152471991
2016,2,15,0.0,35.8,19.2,1170,0.2702370620679992
2016,2,16,0.0,37.5,20.0,1170,0.2566107626518558
2016,2,17,0.6,34.2,22.8,1170,0.33783703383087577
2016,2,18,15.8,35.3,19.2,1170,0.318809237023285
2016,2,19,0.2,34.3,19.1,1170,0.3195554800075546
2016,2,20,0.0,37.3,21.4,1170,0.30807180768436004
2016,2,21,0.0,36.5,19.3,1170,0.2916169206846428
2016,2,22,0.0,35.8,18.3,1170,0.2885069489264743
2016,2,23,0.0,32.7,21.8,1170,0.3766396043036274
2016,2,24,0.6,34.0,20.3,1170,0.3483062427159074
2016,2,25,2.0,35.7,20.1,1170,0.27626957623599574
2016,2,26,7.2,33.6,18.6,1170,0.3079319490253443
